episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_shared_policy_reward,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/num_steps_trained_this_iter,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
-400.0,-400.0,-400.0,10001.0,1,1,420000,0,840000,False,40,21,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_11-44-07,1704426247,174.74394059181213,4150.9038462638855,13592,DESKTOP-CC49RT1,127.0.0.1,174.74394059181213,0,1,-200.0,-200.0,-200.0,[-400.0],[10001],"[-200.0, -200.0]",0.18283426925531776,0.9646859504444517,0.05375065271165763,7.466835115237341,0.0,173837.88,115.05,0.522,38304146.119,957.489,20887.973,1.459,420000,840000,420000,840000,0,18.348790322580644,82.81290322580647,0.0,0.2,1e-10,206.60670166015626,-0.0001190708540146801,206.63897705078125,0.00232086181640625,2.064289381237261e-05,3.2176260471343996,0.01
-400.0,-400.0,-400.0,10001.0,2,1,440000,0,880000,False,42,22,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_11-47-04,1704426424,177.8866400718689,4328.790486335754,13592,DESKTOP-CC49RT1,127.0.0.1,352.63058066368103,0,2,-200.0,-200.0,-200.0,"[-400.0, -400.0, -400.0]","[10001, 10001, 10001]","[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0]",0.19632822822863702,0.9796909460403485,0.055110337545265176,7.489596857399616,0.0,175867.718,113.722,0.509,39290903.981,964.092,20744.905,1.461,440000,880000,440000,880000,0,24.67649402390438,83.47649402390438,0.0,0.1,1e-10,75.0860107421875,-5.374822579380378e-05,75.11824645996094,0.0030591607093811033,1.1044564262951972e-05,3.2177320957183837,0.01
-400.0,-400.0,-400.0,10001.0,2,1,460000,0,920000,False,44,23,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_11-49-57,1704426597,172.83917260169983,4501.629658937454,13592,DESKTOP-CC49RT1,127.0.0.1,525.4697532653809,0,3,-200.0,-200.0,-200.0,"[-400.0, -400.0, -400.0, -400.0, -400.0]","[10001, 10001, 10001, 10001, 10001]","[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]",0.1992395537372782,0.9796472838288169,0.055009304266885974,7.474392045262704,0.0,174865.785,114.373,0.513,39016781.395,966.451,20694.277,1.462,460000,920000,460000,920000,0,18.571428571428577,82.68530612244896,0.0,0.05,1e-10,153.23796997070312,-4.006216075040925e-05,153.27018127441406,0.0028734445571899415,1.0326679180039377e-05,3.21781587600708,0.01
-400.0,-600.0,-428.57142857142856,10001.0,2,1,480000,0,960000,False,46,24,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_11-52-51,1704426771,173.59414410591125,4675.2238030433655,13592,DESKTOP-CC49RT1,127.0.0.1,699.0638973712921,0,4,-300.0,-200.0,-214.28571428571428,"[-400.0, -400.0, -400.0, -400.0, -400.0, -600.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0]",0.2004045032321605,0.9779689234753886,0.05484619707162254,7.464204237535957,0.0,174550.668,114.58,0.384,52022375.194,971.356,20589.775,1.462,480000,960000,480000,960000,0,18.09755102040816,82.08734693877551,0.0,0.025,1e-10,129.4934112548828,-5.427035458271945e-05,129.52564086914063,0.005080687999725342,1.085580264774677e-05,3.217630910873413,0.01
-400.0,-600.0,-444.44444444444446,10001.0,2,1,500000,0,1000000,False,48,25,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_11-55-44,1704426944,173.03322672843933,4848.257029771805,13592,DESKTOP-CC49RT1,127.0.0.1,872.0971240997314,0,5,-300.0,-200.0,-222.22222222222223,"[-400.0, -400.0, -400.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0]",0.20147096032435052,0.9761479590381865,0.05469186051060594,7.455280859677703,0.0,174256.82,114.773,0.407,49165443.676,969.136,20636.948,1.468,500000,1000000,500000,1000000,0,17.972244897959186,81.9469387755102,0.0,0.0125,1e-10,136.5952606201172,-5.0354441941014016e-05,136.62749633789062,0.002020096778869629,6.004170126489017e-06,3.2177991390228273,0.01
-400.0,-600.0,-454.54545454545456,10001.0,2,1,520000,0,1040000,False,50,26,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_11-58-38,1704427118,173.99110436439514,5022.2481341362,13592,DESKTOP-CC49RT1,127.0.0.1,1046.0882284641266,0,6,-300.0,-200.0,-227.27272727272728,"[-400.0, -400.0, -400.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0]",0.2023149927731212,0.9746085135907664,0.05453615240021595,7.4492021290401675,0.0,174212.084,114.803,0.339,58998532.411,972.706,20561.196,1.467,520000,1040000,520000,1040000,0,18.13780487804878,81.91585365853656,0.0,0.00625,1e-10,115.57015075683594,-3.323162081745323e-05,115.60235290527343,0.00438157320022583,8.089498060570576e-06,3.2177333354949953,0.01
-400.0,-600.0,-446.15384615384613,10001.0,2,1,540000,0,1080000,False,52,27,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_12-01-33,1704427293,174.46167635917664,5196.709810495377,13592,DESKTOP-CC49RT1,127.0.0.1,1220.5499048233032,0,7,-300.0,-200.0,-223.07692307692307,"[-400.0, -400.0, -400.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0]",0.20293719080034645,0.9733795476959279,0.054435402656989804,7.445275152792478,0.0,174254.918,114.774,0.291,68831621.146,971.285,20591.276,1.471,540000,1080000,540000,1080000,0,18.276016260162603,81.52073170731707,0.0,0.003125,1e-10,129.1532012939453,-1.6614666313863324e-05,129.18539123535157,0.0028200149536132812,5.915452396365595e-06,3.2175739765167237,0.01
-400.0,-600.0,-453.3333333333333,10001.0,2,1,560000,0,1120000,False,54,28,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_12-04-26,1704427466,173.2741575241089,5369.9839680194855,13592,DESKTOP-CC49RT1,127.0.0.1,1393.824062347412,0,8,-300.0,-200.0,-226.66666666666666,"[-400.0, -400.0, -400.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0]",0.2034440511152833,0.9723497379583663,0.05435771153676115,7.441575069483842,0.0,174134.538,114.854,0.316,63238658.123,971.026,20596.775,1.471,560000,1120000,560000,1120000,0,18.01387755102041,81.33795918367348,0.0,0.0015625,1e-10,72.8131820678711,-1.2069368518119462e-05,72.84536743164062,0.004201161861419678,4.555911841919169e-06,3.2175687313079835,0.01
-400.0,-600.0,-447.05882352941177,10001.0,2,1,580000,0,1160000,False,56,29,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_12-07-19,1704427639,173.38740038871765,5543.371368408203,13592,DESKTOP-CC49RT1,127.0.0.1,1567.2114627361298,0,9,-300.0,-200.0,-223.52941176470588,"[-400.0, -400.0, -400.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]",0.20383125167075167,0.9714650995415485,0.05429380775905225,7.438305390685247,0.0,174054.358,114.907,0.281,71143490.388,970.931,20598.783,1.418,580000,1160000,580000,1160000,0,17.98617886178862,81.32479674796745,0.0,0.00078125,1e-10,105.72361907958984,-2.3815765782586595e-05,105.75581207275391,0.004183495044708252,4.107841906986209e-06,3.2173781871795653,0.01
-400.0,-600.0,-442.10526315789474,10001.0,2,1,600000,0,1200000,False,58,30,41553_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_12-10-12,1704427812,173.1598675251007,5716.531235933304,13592,DESKTOP-CC49RT1,127.0.0.1,1740.3713302612305,0,10,-300.0,-200.0,-221.05263157894737,"[-400.0, -400.0, -400.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -400.0, -400.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]",0.20419009922983203,0.97070656769893,0.054246995918482845,7.435217011386311,0.0,173967.464,114.964,0.305,65515526.398,970.756,20602.496,1.472,600000,1200000,600000,1200000,0,18.029098360655738,81.3290983606557,0.0,0.000390625,1e-10,79.93008575439453,-3.5010652200107016e-05,79.96229248046875,0.004876720905303955,6.123856331896605e-06,3.21726770401001,0.01
