episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_shared_policy_reward,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
-600.0,-600.0,-600.0,10001.0,1,1,20000,0,40000,False,1,1,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_09-35-24,1704418524,172.40310049057007,172.40310049057007,2212,DESKTOP-CC49RT1,127.0.0.1,172.40310049057007,0,1,-300.0,-300.0,-300.0,[-600.0],[10001],"[-300.0, -300.0]",0.1863516495767924,0.9550538803778805,0.055431169328984724,7.356174850063344,0.0,171497.739,116.62,1.022,19562985.075,942.343,21223.7,0.997,20000,40000,20000,40000,26.766938775510205,43.65551020408163,0.0,0.2,0.0005,207.56344299316407,-0.00010109146100933941,207.59571838378906,6.705522537231445e-05,1.111296484110711e-05,3.2188528537750245,0.01
-600.0,-600.0,-600.0,10001.0,2,1,40000,0,80000,False,3,2,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_09-38-32,1704418712,187.91228818893433,360.3153886795044,2212,DESKTOP-CC49RT1,127.0.0.1,360.3153886795044,0,2,-300.0,-300.0,-300.0,"[-600.0, -600.0, -600.0]","[10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0]",0.20530708834231934,1.0049844157362475,0.057766077199297695,7.537619322073028,0.0,179539.719,111.396,0.775,25815073.088,1117.938,17890.075,1.243,40000,80000,40000,80000,30.71842105263158,46.48233082706766,0.0,0.1,0.0005,124.11996307373047,-4.419832203481633e-05,124.152197265625,0.00017145872116088867,5.3850784167114306e-06,3.218807888031006,0.01
-400.0,-600.0,-520.0,10001.0,2,1,60000,0,120000,False,5,3,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_09-41-49,1704418909,196.8239870071411,557.1393756866455,2212,DESKTOP-CC49RT1,127.0.0.1,557.1393756866455,0,3,-300.0,-200.0,-260.0,"[-600.0, -600.0, -600.0, -400.0, -400.0]","[10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0]",0.21581711362470682,1.041753855024573,0.05898225456633001,7.649836671866204,0.0,185332.99,107.914,0.683,29296651.921,1155.979,17301.355,1.324,60000,120000,60000,120000,38.26942446043165,70.75,0.0,0.05,0.0005,149.20191345214843,-3.502878158412326e-05,149.23414001464843,5.817413330078125e-05,4.270144356932626e-06,3.218755674362183,0.01
-400.0,-600.0,-514.2857142857143,10001.0,2,1,80000,0,160000,False,7,4,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_09-45-25,1704419125,216.30402493476868,773.4434006214142,2212,DESKTOP-CC49RT1,127.0.0.1,773.4434006214142,0,4,-300.0,-200.0,-257.14285714285717,"[-600.0, -600.0, -600.0, -400.0, -400.0, -600.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0]",0.2252508171106735,1.0777726718682048,0.06051395908107816,7.78099580344645,0.0,193113.873,103.566,0.642,31132336.24,1143.869,17484.517,1.365,80000,160000,80000,160000,34.38333333333333,81.80718954248366,0.0,0.025,0.0005,153.6326141357422,-5.924803685743996e-05,153.66484680175782,0.0003836870193481445,4.581969524186658e-06,3.2187376022338867,0.01
-400.0,-600.0,-511.1111111111111,10001.0,2,1,100000,0,200000,False,9,5,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_09-48-42,1704419322,196.88317799568176,970.326578617096,2212,DESKTOP-CC49RT1,127.0.0.1,970.326578617096,0,5,-300.0,-200.0,-255.55555555555554,"[-600.0, -600.0, -600.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0]",0.23132688610889263,1.0996649897563362,0.06138822656481743,7.859058575410431,0.0,193875.762,103.159,0.514,38915420.301,1134.029,17636.228,1.291,100000,200000,100000,200000,27.893525179856113,80.48884892086332,0.0,0.0125,0.0005,82.95169830322266,-3.2291459442390646e-05,82.98391418457031,0.00028839111328125,3.588106429492158e-06,3.2186904430389403,0.01
-400.0,-600.0,-509.09090909090907,10001.0,2,1,120000,0,240000,False,11,6,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_09-52-10,1704419530,207.75582075119019,1178.0823993682861,2212,DESKTOP-CC49RT1,127.0.0.1,1178.0823993682861,0,6,-300.0,-200.0,-254.54545454545453,"[-600.0, -600.0, -600.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0]",0.23626664732318375,1.1174130062091867,0.06211997889199769,7.924205420656725,0.0,196172.855,101.951,0.511,39135096.804,1148.219,17418.284,1.323,120000,240000,120000,240000,31.0656462585034,79.13707482993196,0.0,0.00625,0.0005,103.65235595703125,-6.408805841463667e-05,103.68460083007812,0.0007422924041748047,5.2802826537079465e-06,3.2186371803283693,0.01
-400.0,-600.0,-492.3076923076923,10001.0,2,1,140000,0,280000,False,13,7,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_09-55-35,1704419735,205.20811891555786,1383.290518283844,2212,DESKTOP-CC49RT1,127.0.0.1,1383.290518283844,0,7,-300.0,-200.0,-246.15384615384616,"[-600.0, -600.0, -600.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0]",0.24014649917238276,1.1314157992930631,0.06265452546221667,7.9769319406857715,0.0,197488.498,101.272,0.438,45657612.938,1137.097,17588.649,1.489,140000,280000,140000,280000,30.070689655172412,78.66103448275864,0.0,0.003125,0.0005,133.52969360351562,-2.5114707675832902e-05,133.56190185546876,0.00038853883743286135,6.272221933367739e-06,3.2185086250305175,0.01
-400.0,-600.0,-493.3333333333333,10001.0,2,1,160000,0,320000,False,15,8,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_09-58-46,1704419926,191.23507118225098,1574.525589466095,2212,DESKTOP-CC49RT1,127.0.0.1,1574.525589466095,0,8,-300.0,-200.0,-246.66666666666666,"[-600.0, -600.0, -600.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0]",0.24277046544493172,1.1405429419928232,0.06299097745793202,8.011822265024124,0.0,196715.015,101.67,0.445,44909900.288,1124.233,17789.906,1.423,160000,320000,160000,320000,23.684814814814814,77.55925925925926,0.0,0.0015625,0.0005,85.96575164794922,-8.924026584811173e-06,85.9979476928711,0.0004493951797485352,4.295225555495108e-06,3.218664836883545,0.01
-400.0,-600.0,-482.3529411764706,10001.0,2,1,180000,0,360000,False,17,9,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_10-02-06,1704420126,199.41200423240662,1773.9375936985016,2212,DESKTOP-CC49RT1,127.0.0.1,1773.9375936985016,0,9,-300.0,-200.0,-241.1764705882353,"[-600.0, -600.0, -600.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]",0.24482238727368244,1.1480788594977278,0.06325991698726097,8.039402575882074,0.0,196978.628,101.534,0.506,39512991.05,1152.751,17349.801,1.427,180000,360000,180000,360000,28.106028368794327,76.30673758865248,0.0,0.00078125,0.0005,99.33707427978516,-1.9164848526997958e-05,99.36927642822266,0.00046466588973999025,4.661101625413888e-06,3.218553066253662,0.01
-400.0,-600.0,-473.6842105263158,10001.0,2,1,200000,0,400000,False,19,10,45c19_00000,21a42826982943e18dfdcdb4cf7e69e5,2024-01-05_10-05-24,1704420324,198.4570541381836,1972.3946478366852,2212,DESKTOP-CC49RT1,127.0.0.1,1972.3946478366852,0,10,-300.0,-200.0,-236.8421052631579,"[-600.0, -600.0, -600.0, -400.0, -400.0, -600.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -600.0, -400.0, -400.0, -400.0, -400.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]",0.24662592138374578,1.1543036999420666,0.06348286937987345,8.06144170734858,0.0,197157.104,101.442,0.508,39377590.011,1148.23,17418.118,1.433,200000,400000,200000,400000,26.923131672597865,75.77010676156584,0.0,0.000390625,0.0005,115.74707794189453,-3.8134039921544624e-05,115.77930603027343,0.0002451658248901367,4.463255726326956e-06,3.218463087081909,0.01
